build_Failed,gh_is_pr,git_prev_commit_resolution_status,gh_team_size,gh_num_commit_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,tr_build_id,gh_build_started_at
1,0,2,240,0,4,0,0,0,1,0,0,1,0,0,44506,2050.083135,182.8292814,518.0425111,106176,2011-08-29 0:13
0,0,1,240,0,18,30,0,0,7,0,0,4,0,3,45012,2031.036168,180.2852573,518.9282858,106060,2011-08-29 0:25
1,0,2,240,0,16,0,0,0,12,0,0,8,0,4,44998,2031.312503,180.2969021,519.0452909,107024,2011-08-29 2:50
1,0,1,240,0,16,0,0,0,9,0,0,8,0,1,44998,2031.312503,180.2969021,519.0452909,107047,2011-08-29 3:35
0,0,1,240,0,1939,40,1,0,6,0,0,5,0,1,44195,2064.50956,184.1158502,521.6879738,108038,2011-08-29 12:22
1,0,1,240,0,27,6,0,0,4,0,0,4,0,0,45013,2031.07991,180.3034679,518.9389732,108786,2011-08-29 14:37
1,0,1,240,0,27,6,0,0,4,0,0,4,0,0,44196,2064.553353,184.1343108,521.6987963,108816,2011-08-29 15:17
1,0,1,241,0,11,11,0,0,4,0,0,4,0,0,45018,2031.054245,180.3278689,518.9701897,109206,2011-08-29 15:55
1,0,1,241,0,24,0,0,0,2,0,0,2,0,0,44200,2064.366516,184.1176471,521.6515837,109356,2011-08-29 17:31
1,0,2,241,0,4,33,1,0,2,0,0,3,0,0,44201,2064.387684,184.1134816,521.6397819,109764,2011-08-29 21:07
1,0,2,241,0,0,0,0,0,1,0,0,0,0,0,44201,2064.387684,184.1134816,521.6397819,109445,2011-08-29 22:04
1,0,1,241,0,0,0,0,0,1,0,0,0,0,0,45018,2031.054245,180.3278689,518.9701897,110003,2011-08-29 22:44
1,0,1,241,0,0,0,0,0,1,0,0,0,0,0,44998,2031.312503,180.2969021,519.0452909,110111,2011-08-29 23:23
1,0,1,241,0,1,0,0,0,1,0,0,1,0,0,44200,2064.434389,184.1176471,521.6515837,110139,2011-08-30 0:06
1,0,1,241,0,1,0,0,0,1,0,0,1,0,0,44998,2031.312503,180.2969021,519.0452909,110557,2011-08-30 0:49
1,0,1,241,0,1,0,0,0,1,0,0,1,0,0,45018,2031.054245,180.3278689,518.9701897,110528,2011-08-30 1:27
1,0,1,241,0,1,0,0,0,1,0,0,1,0,0,44200,2064.434389,184.1176471,521.6515837,110616,2011-08-30 2:05
1,0,2,241,0,46,65,0,0,6,0,0,6,0,0,45017,2031.543639,180.2208055,518.981718,111032,2011-08-30 5:20
1,0,2,241,0,0,8,0,0,1,0,0,1,0,0,45018,2031.143098,180.3278689,518.992403,112448,2011-08-30 17:26
1,0,2,241,0,30,0,0,0,1,0,0,1,0,0,44201,2064.387684,184.1134816,521.6397819,112352,2011-08-30 18:06
1,0,2,241,0,4,2,0,0,3,0,0,3,0,0,42119,1927.704836,170.3744153,503.454498,112471,2011-08-30 18:37
1,0,1,241,0,0,8,0,0,1,0,0,1,0,0,44201,2064.478179,184.1134816,521.6624058,112315,2011-08-30 19:17
1,0,2,241,0,45,51,0,0,9,0,0,7,0,2,45011,2031.881096,180.244829,519.0508987,112762,2011-08-30 20:01
1,0,2,241,0,69,84,0,0,17,0,0,14,0,3,45031,2031.711488,180.27581,518.9980236,112662,2011-08-30 20:38
1,0,2,241,0,3,0,0,0,1,0,0,1,0,0,45032,2031.666371,180.2718067,518.9864985,112729,2011-08-30 21:12
1,0,2,241,0,0,0,0,0,1,0,0,0,0,0,44201,2064.478179,184.1134816,521.6624058,112707,2011-08-30 21:52
1,0,1,241,0,0,0,0,0,1,0,0,0,0,0,45011,2031.881096,180.244829,519.0508987,112959,2011-08-30 22:35
1,0,1,241,0,0,0,0,0,3,0,0,0,2,0,45011,2031.881096,180.244829,519.0508987,113085,2011-08-30 23:17
1,0,1,241,0,0,0,0,0,3,0,0,0,2,0,44201,2064.478179,184.1134816,521.6624058,113166,2011-08-31 0:00
1,0,2,241,0,72,92,0,0,19,0,0,16,0,3,45032,2031.666371,180.2718067,518.9864985,113182,2011-08-31 0:40
1,0,2,241,0,0,2,0,0,1,0,0,1,0,0,45032,2031.666371,180.2718067,518.9864985,112911,2011-08-31 1:14
1,0,1,241,0,0,2,0,0,1,0,0,1,0,0,44201,2064.478179,184.1134816,521.6624058,113198,2011-08-31 1:50
1,0,2,241,0,0,0,0,0,4,0,0,0,2,0,45012,2031.835955,180.2408247,519.0393673,113111,2011-08-31 2:33
1,0,2,241,0,12,17,0,0,5,0,0,4,0,1,45038,2031.684355,180.2477908,518.9617656,113539,2011-08-31 3:13
1,0,1,241,0,12,17,0,0,5,0,0,4,0,1,45018,2031.853925,180.2168022,519.0146164,113563,2011-08-31 3:51
1,0,1,241,0,12,6,0,0,2,0,0,2,0,0,45022,2031.60677,180.2007907,518.9685043,113555,2011-08-31 4:34
1,0,1,241,0,12,6,0,0,2,0,0,2,0,0,45042,2031.437325,180.2317837,518.9156787,113313,2011-08-31 5:12
1,0,1,241,0,8,6,0,0,2,0,0,2,0,0,44205,2064.223504,184.0968216,521.6152019,113491,2011-08-31 5:51
